group,id,course,module,grade
1,8,Airship Piloting and Navigation,1,13.5
1,8,Airship Piloting and Navigation,1,11
1,8,Airship Piloting and Navigation,1,10.5
1,8,Airship Piloting and Navigation,1,11.5
1,8,Airship Piloting and Navigation,1,9.5
1,8,Alchemy and Chemical Engineering,2,14.5
1,8,Alchemy and Chemical Engineering,2,12.5
1,8,Alchemy and Chemical Engineering,2,12.5
1,8,Alchemy and Chemical Engineering,2,13.5
1,8,Alchemy and Chemical Engineering,2,15
1,8,Clockwork Automata and Robotics,1,14.5
1,8,Clockwork Automata and Robotics,1,7
1,8,Clockwork Automata and Robotics,1,11
1,8,Clockwork Automata and Robotics,1,12.5
1,8,Clockwork Automata and Robotics,1,18.5
1,8,Cryptography and Codebreaking,1,9.5
1,8,Cryptography and Codebreaking,1,9.5
1,8,Electrical Engineering and Telegraphy,1,9
1,8,Electrical Engineering and Telegraphy,1,8
1,8,Electrical Engineering and Telegraphy,1,9
1,8,Etiquette and Social Graces,1,8
1,8,Etiquette and Social Graces,1,14.5
1,8,Etiquette and Social Graces,1,13
1,8,Etiquette and Social Graces,1,9.5
1,8,Etiquette and Social Graces,1,10.5
1,8,Fashion Design and Textile Innovation,1,12.5
1,8,Fashion Design and Textile Innovation,1,15
1,8,Fashion Design and Textile Innovation,1,14.5
1,8,Fashion Design and Textile Innovation,1,14.5
1,8,Fashion Design and Textile Innovation,1,11
1,8,Fashion Design and Textile Innovation,1,14
1,8,Fashion Design and Textile Innovation,1,14.5
1,8,Fashion Design and Textile Innovation,1,14.5
1,8,Historical Archaeology and Antiquarian Studies,1,11.75
1,8,Historical Archaeology and Antiquarian Studies,1,13.75
1,8,Historical Archaeology and Antiquarian Studies,1,9.25
1,8,Steam Engine Mechanics and Engineering,2,8.25
1,8,Steam Engine Mechanics and Engineering,2,9
1,8,Steam Engine Mechanics and Engineering,2,7.75
1,8,Victorian Literature and Social Commentary,1,5
1,8,Victorian Literature and Social Commentary,1,8.9
1,8,Victorian Literature and Social Commentary,1,8.3
1,8,Victorian Literature and Social Commentary,1,7.3
1,8,Victorian Literature and Social Commentary,1,6.6
1,8,Victorian Literature and Social Commentary,1,6.8
1,8,Victorian Literature and Social Commentary,1,9.1
1,8,Victorian Literature and Social Commentary,1,8.2
1,10,Airship Piloting and Navigation,1,8
1,10,Airship Piloting and Navigation,1,10.5
1,10,Airship Piloting and Navigation,1,12.5
1,10,Airship Piloting and Navigation,1,10
1,10,Airship Piloting and Navigation,1,10.5
1,10,Alchemy and Chemical Engineering,2,14
1,10,Alchemy and Chemical Engineering,2,11.5
1,10,Alchemy and Chemical Engineering,2,14
1,10,Alchemy and Chemical Engineering,2,12.5
1,10,Clockwork Automata and Robotics,1,15.5
1,10,Clockwork Automata and Robotics,1,14
1,10,Clockwork Automata and Robotics,1,13
1,10,Clockwork Automata and Robotics,1,19.5
1,10,Cryptography and Codebreaking,1,9.5
1,10,Cryptography and Codebreaking,1,10
1,10,Cryptography and Codebreaking,1,10
1,10,Electrical Engineering and Telegraphy,1,12
1,10,Electrical Engineering and Telegraphy,1,7
1,10,Electrical Engineering and Telegraphy,1,15
1,10,Etiquette and Social Graces,1,12
1,10,Etiquette and Social Graces,1,14
1,10,Etiquette and Social Graces,1,12.5
1,10,Fashion Design and Textile Innovation,1,11
1,10,Fashion Design and Textile Innovation,1,17.5
1,10,Fashion Design and Textile Innovation,1,18
